x,y,z
-0.707107,-0.707107,0
-0.599278,-0.800541,0
-0.479249,-0.877679,0
-0.349464,-0.93695,0
-0.212565,-0.977147,0
-0.0713392,-0.997452,0
0.0713392,-0.997452,0
0.212565,-0.977147,0
0.349464,-0.93695,0
0.479249,-0.877679,0
0.599277,-0.800541,0
0.707107,-0.707107,0
-0.800541,-0.599278,0
-0.667352,-0.667352,0.330579
-0.541329,-0.773098,0.330579
-0.398858,-0.855354,0.330579
-0.244268,-0.91162,0.330579
-0.0822558,-0.940187,0.330579
0.0822557,-0.940187,0.330579
0.244268,-0.91162,0.330579
0.398858,-0.855354,0.330579
0.541329,-0.773098,0.330579
0.667352,-0.667352,0.330579
0.800541,-0.599278,0
-0.877679,-0.479249,0
-0.773098,-0.541329,0.330579
-0.568298,-0.568298,0.595041
-0.427592,-0.680508,0.595041
-0.265444,-0.758594,0.595041
-0.0899854,-0.798642,0.595041
0.0899853,-0.798642,0.595041
0.265444,-0.758594,0.595041
0.427592,-0.680508,0.595041
0.568298,-0.568298,0.595041
0.773098,-0.541329,0.330579
0.877679,-0.479249,0
-0.93695,-0.349464,0
-0.855354,-0.398858,0.330579
-0.680508,-0.427592,0.595041
-0.430427,-0.430427,0.793388
-0.276351,-0.54237,0.793388
-0.0952242,-0.601221,0.793388
0.0952241,-0.601221,0.793388
0.276351,-0.54237,0.793388
0.430427,-0.430427,0.793388
0.680508,-0.427592,0.595041
0.855354,-0.398858,0.330579
0.93695,-0.349464,0
-0.977147,-0.212565,0
-0.91162,-0.244268,0.330579
-0.758594,-0.265444,0.595041
-0.54237,-0.276351,0.793388
-0.267608,-0.267608,0.92562
-0.0979513,-0.365559,0.92562
0.0979512,-0.365559,0.92562
0.267608,-0.267608,0.92562
0.54237,-0.276351,0.793388
0.758594,-0.265444,0.595041
0.91162,-0.244268,0.330579
0.977147,-0.212565,0
-0.997452,-0.0713392,0
-0.940187,-0.0822558,0.330579
-0.798642,-0.0899854,0.595041
-0.601221,-0.0952242,0.793388
-0.365559,-0.0979513,0.92562
-0.0907211,-0.0907211,0.991736
0.0907211,-0.0907212,0.991736
0.365559,-0.0979513,0.92562
0.601221,-0.0952242,0.793388
0.798642,-0.0899854,0.595041
0.940187,-0.0822558,0.330579
0.997452,-0.0713392,0
-0.997452,0.0713392,0
-0.940187,0.0822557,0.330579
-0.798642,0.0899853,0.595041
-0.601221,0.0952241,0.793388
-0.365559,0.0979512,0.92562
-0.0907212,0.0907211,0.991736
0.090721,0.090721,0.991736
0.365559,0.0979512,0.92562
0.601221,0.0952241,0.793388
0.798642,0.0899853,0.595041
0.940187,0.0822557,0.330579
0.997452,0.0713392,0
-0.977147,0.212565,0
-0.91162,0.244268,0.330579
-0.758594,0.265444,0.595041
-0.54237,0.276351,0.793388
-0.267608,0.267608,0.92562
-0.0979513,0.365559,0.92562
0.0979512,0.365559,0.92562
0.267608,0.267608,0.92562
0.54237,0.276351,0.793388
0.758594,0.265444,0.595041
0.91162,0.244268,0.330579
0.977147,0.212565,0
-0.93695,0.349464,0
-0.855354,0.398858,0.330579
-0.680508,0.427592,0.595041
-0.430427,0.430427,0.793388
-0.276351,0.54237,0.793388
-0.0952242,0.601221,0.793388
0.0952241,0.601221,0.793388
0.276351,0.54237,0.793388
0.430427,0.430427,0.793388
0.680508,0.427592,0.595041
0.855354,0.398858,0.330579
0.93695,0.349464,0
-0.877679,0.479249,0
-0.773098,0.541329,0.330579
-0.568298,0.568298,0.595041
-0.427592,0.680508,0.595041
-0.265444,0.758594,0.595041
-0.0899854,0.798642,0.595041
0.0899853,0.798642,0.595041
0.265444,0.758594,0.595041
0.427592,0.680508,0.595041
0.568298,0.568298,0.595041
0.773098,0.541329,0.330579
0.877679,0.479249,0
-0.800541,0.599277,0
-0.667352,0.667352,0.330579
-0.541329,0.773098,0.330579
-0.398858,0.855354,0.330579
-0.244268,0.91162,0.330579
-0.0822558,0.940187,0.330579
0.0822557,0.940187,0.330579
0.244268,0.91162,0.330579
0.398858,0.855354,0.330579
0.541329,0.773098,0.330579
0.667352,0.667352,0.330579
0.800541,0.599277,0
-0.707107,0.707107,0
-0.599278,0.800541,0
-0.479249,0.877679,0
-0.349464,0.93695,0
-0.212565,0.977147,0
-0.0713392,0.997452,0
0.0713392,0.997452,0
0.212565,0.977147,0
0.349464,0.93695,0
0.479249,0.877679,0
0.599277,0.800541,0
0.707107,0.707107,0
